Bike,Wheels,Bike Type,Rider Height (cm),Rider Weight (kg),Power (W),Flat Stage 0 Avg Speed MPH,Flat Stage 0 - Hour Time Gap,Flat Stage 5 Avg Speed MPH,Flat Stage 5 - Hour Time Gap,Climb Stage 0 Avg Speed MPH,Climb Stage 0 - Hour Time Gap,Climb Stage 5 Avg Speed MPH,Climb Stage 5 - Hour Time Gap
Scott Addict RC,Zwift 32mm Carbon,Road,183,75,300,24.9346,50.8,25.1278,79.1,9.3243,46.7,9.4190,83.7
Scott Foil 2015,Zwift 32mm Carbon,Road,183,75,300,24.6921,15.3,24.8791,42.7,9.2560,20.0,9.3491,56.4
Scott Foil 2023,Zwift 32mm Carbon,Road,183,75,300,24.9738,56.5,25.1652,84.6,9.2723,26.4,9.3659,63.0
Scott Plasma,Zwift 32mm Carbon,TT,183,75,300,25.6775,159.6,26.0075,207.9,9.1154,-35.0,9.1841,-8.1
Scott Plasma RC Ultimate,Zwift 32mm Carbon,TT,183,75,300,25.7945,176.7,26.1286,225.6,9.1212,-32.7,9.1896,-6.0
Scott Spark RC,Zwift Mountain,MTB,183,75,300,23.0384,-226.8,23.1977,-203.5,8.3049,-352.0,8.4340,-301.5
Scott Spark RC World Cup,Zwift Mountain,MTB,183,75,300,23.0885,-219.5,23.2471,-196.3,8.3259,-343.8,8.4574,-292.3
Specialized Aethos S-Works,Zwift 32mm Carbon,Road,183,75,300,24.9027,46.1,25.0508,67.8,9.3446,54.6,9.4974,114.4
Specialized Allez,Zwift 32mm Carbon,Road,183,75,300,24.6323,6.5,24.8201,34.0,9.1949,-3.9,9.2876,32.3
Specialized Allez Sprint,Zwift 32mm Carbon,Road,183,75,300,24.8583,39.6,25.0492,67.6,9.2658,23.8,9.3575,59.7
Specialized Amira,Zwift 32mm Carbon,Road,183,75,300,24.6470,8.7,24.8336,36.0,9.2806,29.6,9.3735,65.9
Specialized Amira S-Works,Zwift 32mm Carbon,Road,183,75,300,24.6493,9.0,24.8356,36.3,9.2983,36.5,9.3921,73.2
Specialized Crux,Zwift Gravel,Gravel,183,75,300,23.7575,-121.6,23.9465,-93.9,8.8902,-123.1,8.9792,-88.3
Specialized Diverge,Zwift Gravel,Gravel,183,75,300,23.6971,-130.4,23.8862,-102.7,8.8038,-156.9,8.8886,-123.7
Specialized Epic S-Works,Zwift Mountain,MTB,183,75,300,23.0658,-222.8,23.2256,-199.4,8.2926,-356.8,8.4230,-305.8
Specialized PROJECT 74,Roval PROJECT 74,Halo,183,75,300,25.4375,124.4,25.6424,154.4,9.2039,-0.4,9.2974,36.2
Specialized Roubaix,Zwift 32mm Carbon,Road,183,75,300,24.6425,8.0,24.8278,35.2,9.2496,17.5,9.3419,53.6
Specialized Roubaix S-Works,Zwift 32mm Carbon,Road,183,75,300,24.6466,8.6,24.9285,49.9,9.2793,29.1,9.3483,56.1
Specialized Ruby,Zwift 32mm Carbon,Road,183,75,300,24.6424,8.0,24.8273,35.1,9.2473,16.6,9.3418,53.5
Specialized Ruby S-Works,Zwift 32mm Carbon,Road,183,75,300,24.6421,8.0,24.8334,36.0,9.2791,29.0,9.3725,65.5
Specialized S-Works Tarmac SL8,Zwift 32mm Carbon,Road,183,75,300,25.0106,61.9,25.2023,90.0,9.3492,56.4,9.4438,93.4
Specialized Shiv,Zwift 32mm Carbon,TT,183,75,300,25.6732,158.9,26.0026,207.2,9.0893,-45.2,9.1550,-19.5
Specialized Shiv Disc,Zwift 32mm Carbon,TT,183,75,300,25.7741,173.7,26.1097,222.8,9.0928,-43.8,9.1593,-17.8
Specialized Shiv S-Works,Zwift 32mm Carbon,TT,183,75,300,25.6776,159.6,26.0076,207.9,9.1184,-33.8,9.1838,-8.3
Specialized Tarmac,Zwift 32mm Carbon,Road,183,75,300,24.6487,8.9,24.8354,36.3,9.2952,35.3,9.3870,71.2
Specialized Tarmac Pro,Zwift 32mm Carbon,Road,183,75,300,24.8677,41.0,25.0581,68.9,9.3232,46.3,9.4178,83.3
Specialized Tarmac SL7,Zwift 32mm Carbon,Road,183,75,300,24.9355,50.9,25.1290,79.3,9.3242,46.7,9.4206,84.4
Specialized Tarmac SL8,Zwift 32mm Carbon,Road,183,75,300,25.0022,60.7,25.1946,88.9,9.3286,48.4,9.4233,85.4
Specialized Venge 2015,Zwift 32mm Carbon,Road,183,75,300,24.9995,60.3,25.1949,88.9,9.2416,14.4,9.3325,49.9
Specialized Venge S-Works 2019,Zwift 32mm Carbon,Road,183,75,300,25.0169,62.8,25.2150,91.8,9.2942,34.9,9.3869,71.2
Trek Emonda,Zwift 32mm Carbon,Road,183,75,300,24.6498,9.1,24.7945,30.3,9.3059,39.5,9.4564,98.4
Trek Emonda SL,Zwift 32mm Carbon,Road,183,75,300,24.6480,8.8,24.7909,29.8,9.2899,33.2,9.4389,91.5
Trek Madone,Zwift 32mm Carbon,Road,183,75,300,24.9810,57.6,25.1762,86.2,9.2699,25.4,9.3628,61.8
Trek Speed Concept SLR 9,Zwift 32mm Carbon,TT,183,75,300,25.7718,173.4,26.1093,222.8,8.9969,-81.3,9.0628,-55.6
Trek Super Caliber,Zwift Mountain,MTB,183,75,300,23.0878,-219.6,23.2478,-196.2,8.3215,-345.5,8.4538,-293.8
Uranium Nuclear,Zwift 32mm Carbon,Road,183,75,300,24.9070,46.8,25.0983,74.8,9.2761,27.8,9.3711,65.0
VanRysel EDR CF,Zwift 32mm Carbon,Road,183,75,300,24.6401,7.7,24.8252,34.8,9.2382,13.0,9.3283,48.3
Ventum NS1,Zwift 32mm Carbon,Road,183,75,300,24.9209,48.8,25.1120,76.8,9.2295,9.6,9.3222,45.9
Ventum One,Zwift 32mm Carbon,TT,183,75,300,25.7050,163.6,25.9205,195.1,9.0183,-73.0,9.1091,-37.5
Zwift Aero,Zwift 32mm Carbon,Road,183,75,300,24.9162,48.1,25.1064,75.9,9.2186,5.4,9.3121,41.9
Zwift Atomic Cruiser,Zwift 32mm Carbon,Road,183,75,300,24.4727,-16.8,24.6537,9.7,9.0887,-45.4,9.1753,-11.6
Zwift Big Wheel,Zwift Zwift Trike,Funny,183,75,300,24.5728,-2.2,24.7593,25.1,9.1104,-37.0,9.2005,-1.7
Zwift BMX Bandit,Zwift BMX Bandit,Funny,183,75,300,24.6601,10.6,24.8523,38.7,8.6047,-234.7,8.6890,-201.8
Zwift Buffalo Fahrrad,Zwift 32mm Carbon,Road,183,75,300,24.2350,-51.6,24.4169,-25.0,8.9041,-117.6,8.9907,-83.8
Zwift Carbon,Zwift 32mm Carbon,Road,183,75,300,24.5877,0.0,24.7690,26.5,9.2049,0.0,9.2964,35.8
Zwift Concept Z1,Zwift Concept Z1,Halo,183,75,300,25.3679,114.2,25.5711,144.0,9.2816,30.0,9.3758,66.8
Zwift Gravel,Zwift Gravel,Gravel,183,75,300,23.5946,-145.4,23.7790,-118.4,8.7883,-162.9,8.8758,-128.7
Zwift Handcycle,Zwift Handcycle,Handcycle,183,75,300,25.4960,133.0,25.7177,165.4,8.1407,-416.2,8.2163,-386.6
Zwift Mountain,Zwift Mountain,MTB,183,75,300,23.0409,-226.5,23.2034,-202.7,8.2549,-371.5,8.3813,-322.1
Zwift Safety,Zwift 32mm Carbon,Road,183,75,300,24.5448,-6.3,24.7306,20.9,9.0912,-44.5,9.1799,-9.8
Zwift Steel,Zwift 32mm Carbon,Road,183,75,300,24.5527,-5.1,24.7355,21.6,9.1253,-31.1,9.2168,4.7
Zwift TT,Zwift 32mm Carbon,TT,183,75,300,25.5238,137.1,25.8470,184.4,9.0441,-62.9,9.1109,-36.8
